SNOMED code	SNOMED descriptor	ICD-O code	topography	filter_code
106004	Posterior carpal region	C76.4	top	0_0_0_15_4
107008	Fetal part of placenta	C58.9	top	0_0_0_10_7_0
108003	Entire condylar emissary vein	C49.0	top	0_0_0_8_0
110001	Visceral layer of Bowman's capsule	C64.9	top	0_0_0_12_0_0
111002	Parathyroid	C75.0	top	0_0_0_14_2_0
116007	Subcutaneous tissue of medial surface of index finger	C49.1	top	0_0_0_8_1
124002	Coronoid process of mandible	C41.1	top	0_0_0_3_1_1
155008	Deep circumflex iliac artery	C49.5	top	0_0_0_8_5
167005	Supraclavicular part of brachial plexus	C47.1	top	0_0_0_6_1
202009	Anterior division of renal artery	C49.4	top	0_0_0_8_4
205006	Entire left commissure of aortic valve	C38.0	top	0_0_0_2_6_0
206007	Gluteus maximus muscle	C49.5	top	0_0_0_8_5
221001	Articular surface, phalanges, of fourth metacarpal bone	C40.1	top	0_0_0_3_0_1
227002	Canal of Hering	C22.1	top	0_0_0_1_7_1
233006	Hepatocolic ligament	C49.4	top	0_0_0_8_4
235004	Superior labial artery	C49.0	top	0_0_0_8_0
246001	Nucleus of Deiters	C72.4	top	0_0_0_13_3_4
247005	Mesotympanum	C30.1	top	0_0_0_2_0_1
251007	Pectoral region	C76.1	top	0_0_0_15_1
263002	Thoracic nerve	C47.3	top	0_0_0_6_3
266005	Right lower lobe of lung	C34.3	top	0_0_0_2_4_3
272005	Cranial articular process of lumbar vertebra	C41.2	top	0_0_0_3_1_2
273000	Lateral myocardium	C38.0	top	0_0_0_2_6_0
283001	Central axillary lymph node	C77.3	top	0_0_0_16_3
284007	Entire flexor tendon and tendon sheath of fourth toe	C49.2	top	0_0_0_8_2
289002	Metacarpophalangeal joint of index finger	C40.1	top	0_0_0_3_0_1
301000	Fifth metatarsal bone	C40.3	top	0_0_0_3_0_3
311007	Plantar surface of great toe	C76.5	top	0_0_0_15_5
315003	Skin of umbilicus	C44.5	top	0_0_0_5_5
318001	Cardiac impression of liver	C22.0	top	0_0_0_1_7_0
344001	Hock	C76.5	top	0_0_0_15_5
345000	Bundle of His	C38.0	top	0_0_0_2_6_0
354002	Triton tumor, malignant	9561/3	hist	0_0_1_38_7
356000	Reticular corium	C44.9	top	0_0_0_5_9
393006	Wall of bladder	C67.9	top	0_0_0_12_3_9
402006	Dental branch of inferior alveolar artery	C49.0	top	0_0_0_8_0
405008	Entire posterior temporal diploic vein	C49.0	top	0_0_0_8_0
414003	Gastric fundus	C16.1	top	0_0_0_1_1_1
422005	Ventral aspect of tongue	C02.2	top	0_0_0_0_2_2
446003	Trochanteric bursa	C49.2	top	0_0_0_8_2
457008	Collateral ligament	C49.9	top	0_0_0_8_8
461002	Crossed pyramidal tract	C72.0	top	0_0_0_13_3_0
465006	Precentral gyrus	C71.1	top	0_0_0_13_2_1
471000	Flexor hallucis longus	C49.2	top	0_0_0_8_2
480000	Lesser circulation	C76.7	top	0_0_0_15_6
485005	Transverse colon	C18.4	top	0_0_0_1_3_4
511008	Fibrous meningioma	9532/0	hist	0_0_1_37_3
528006	Costal surface of lung	C34.9	top	0_0_0_2_4_5
552004	Entire vagus nerve parasympathetic fibers to cardiac plexus	C47.9	top	0_0_0_6_8
565008	Intervertebral disc space of fifth lumbar vertebra	C41.2	top	0_0_0_3_1_2
582005	Head of phalanx of great toe	C40.3	top	0_0_0_3_0_3
587004	Capsule of proximal interphalangeal joint of third toe	C40.3	top	0_0_0_3_0_3
589001	Ventricular septum	C38.0	top	0_0_0_2_6_0
595000	Palpebral fissure	C44.1	top	0_0_0_5_1
608002	Subcutaneous tissue of philtrum	C49.0	top	0_0_0_8_0
635006	Tuberosity of distal phalanx of little toe	C40.3	top	0_0_0_3_0_3
650002	Cranial articular process of seventh thoracic vertebra	C41.2	top	0_0_0_3_1_2
660006	Tracheal mucous membrane	C33.9	top	0_0_0_2_3_0
661005	Jaw	C76.0	top	0_0_0_15_0
688000	Fetal hyaloid artery	C49.9	top	0_0_0_8_8
691000	Small intestine submucosa	C17.9	top	0_0_0_1_2_5
692007	Body of ischium	C41.4	top	0_0_0_3_1_4
